index,Weight,Model.Year,Acceleration,MPG,Cylinders,Origin,Horsepower,Name
1,3504,70,120,180,8,USA,130,chevrolet chevelle malibu
2,3693,70,115,150,8,USA,165,buick skylark 320
3,3436,70,110,180,8,USA,150,plymouth satellite
4,3433,70,120,160,8,USA,150,amc rebel sst
5,3449,70,105,170,8,USA,140,ford torino
6,4341,70,100,150,8,USA,198,ford galaxie 500
7,4354,70,90,140,8,USA,220,chevrolet impala
8,4312,70,85,140,8,USA,215,plymouth fury iii
9,4425,70,100,140,8,USA,225,pontiac catalina
10,3850,70,85,150,8,USA,190,amc ambassador dpl
11,3563,70,100,150,8,USA,170,dodge challenger se
12,3609,70,80,140,8,USA,160,plymouth 'cuda 340
13,3761,70,95,150,8,USA,150,chevrolet monte carlo
14,3086,70,100,140,8,USA,225,buick estate wagon (sw)
15,2372,70,150,240,4,Japan,95,toyota corona mark ii
16,2833,70,155,220,6,USA,95,plymouth duster
17,2774,70,155,180,6,USA,97,amc hornet
18,2587,70,160,210,6,USA,85,ford maverick
19,2130,70,145,270,4,Japan,88,datsun pl510
20,1835,70,205,260,4,Europe,46,volkswagen 1131 deluxe sedan
21,2672,70,175,250,4,Europe,87,peugeot 504
22,2430,70,145,240,4,Europe,90,audi 100 ls
23,2375,70,175,250,4,Europe,95,saab 99e
24,2234,70,125,260,4,Europe,113,bmw 2002
25,2648,70,150,210,6,USA,90,amc gremlin
26,4615,70,140,100,8,USA,215,ford f250
27,4376,70,150,100,8,USA,200,chevy c20
28,4382,70,135,110,8,USA,210,dodge d200
29,4732,70,185,90,8,USA,193,hi 1200d
30,2130,71,145,270,4,Japan,88,datsun pl510
31,2264,71,155,280,4,USA,90,chevrolet vega 2300
32,2228,71,140,250,4,Japan,95,toyota corona
33,2634,71,130,190,6,USA,100,amc gremlin
34,3439,71,155,160,6,USA,105,plymouth satellite custom
35,3329,71,155,170,6,USA,100,chevrolet chevelle malibu
36,3302,71,155,190,6,USA,88,ford torino 500
37,3288,71,155,180,6,USA,100,amc matador
38,4209,71,120,140,8,USA,165,chevrolet impala
39,4464,71,115,140,8,USA,175,pontiac catalina brougham
40,4154,71,135,140,8,USA,153,ford galaxie 500
41,4096,71,130,140,8,USA,150,plymouth fury iii
42,4955,71,115,120,8,USA,180,dodge monaco (sw)
43,4746,71,120,130,8,USA,170,ford country squire (sw)
44,5140,71,120,130,8,USA,175,pontiac safari (sw)
45,2962,71,135,180,6,USA,110,amc hornet sportabout (sw)
46,2408,71,190,220,4,USA,72,chevrolet vega (sw)
47,3282,71,150,190,6,USA,100,pontiac firebird
48,3139,71,145,180,6,USA,88,ford mustang
49,2220,71,140,230,4,USA,86,mercury capri 2000
50,2123,71,140,280,4,Europe,90,opel 1900
51,2074,71,195,300,4,Europe,70,peugeot 304
52,2065,71,145,300,4,Europe,76,fiat 124b
53,1773,71,190,310,4,Japan,65,toyota corolla 1200
54,1613,71,180,350,4,Japan,69,datsun 1200
55,1834,71,190,270,4,Europe,60,volkswagen model 111
56,1955,71,205,260,4,USA,70,plymouth cricket
57,2278,72,155,240,4,Japan,95,toyota corona hardtop
58,2126,72,170,250,4,USA,80,dodge colt hardtop
59,2254,72,235,230,4,Europe,54,volkswagen type 3
60,2408,72,195,200,4,USA,90,chevrolet vega
61,2226,72,165,210,4,USA,86,ford pinto runabout
62,4274,72,120,130,8,USA,165,chevrolet impala
63,4385,72,120,140,8,USA,175,pontiac catalina
64,4135,72,135,150,8,USA,150,plymouth fury iii
65,4129,72,130,140,8,USA,153,ford galaxie 500
66,3672,72,115,170,8,USA,150,amc ambassador sst
67,4633,72,110,110,8,USA,208,mercury marquis
68,4502,72,135,130,8,USA,155,buick lesabre custom
69,4456,72,135,120,8,USA,160,oldsmobile delta 88 royale
70,4422,72,125,130,8,USA,190,chrysler newport royal
71,2330,72,135,190,3,Japan,97,mazda rx2 coupe
72,3892,72,125,150,8,USA,150,amc matador (sw)
73,4098,72,140,130,8,USA,130,chevrolet chevelle concours (sw)
74,4294,72,160,130,8,USA,140,ford gran torino (sw)
75,4077,72,140,140,8,USA,150,plymouth satellite custom (sw)
76,2933,72,145,180,4,Europe,112,volvo 145e (sw)
77,2511,72,180,220,4,Europe,76,volkswagen 411 (sw)
78,2979,72,195,210,4,Europe,87,peugeot 504 (sw)
79,2189,72,180,260,4,Europe,69,renault 12 (sw)
80,2395,72,160,220,4,USA,86,ford pinto (sw)
81,2288,72,170,280,4,Japan,92,datsun 510 (sw)
82,2506,72,145,230,4,Japan,97,toyouta corona mark ii (sw)
83,2164,72,150,280,4,USA,80,dodge colt (sw)
84,2100,72,165,270,4,Japan,88,toyota corolla 1600 (sw)
